Step,Vehicle_ID,RSU_ID,Signal_Strength,Blockage_Status
0,0,4486462975,0.102365892,No Obstruction
0,0,4486462975,0.102365892,No Obstruction
0,0,4486462975,0.102365892,No Obstruction
0,0,4486462975,0.102365892,No Obstruction
0,0,4486462975,0.102365892,No Obstruction
0,0,4486462975,0.102365892,No Obstruction
0,0,4486462975,0.102365892,No Obstruction
0,0,4486462975,0.102365892,No Obstruction
0,0,4486462975,0.102365892,No Obstruction
0,0,4486462975,0.102365892,No Obstruction
1,0,4486462975,0.090666602,No Obstruction
1,0,4486462975,0.090666602,No Obstruction
1,0,4486462975,0.090666602,No Obstruction
1,0,4486462975,0.090666602,No Obstruction
1,0,4486462975,0.090666602,No Obstruction
1,0,4486462975,0.090666602,No Obstruction
1,0,4486462975,0.090666602,No Obstruction
1,0,4486462975,0.090666602,No Obstruction
1,0,4486462975,0.090666602,No Obstruction
1,0,4486462975,0.090666602,No Obstruction
1,1,41735772,0.072536516,No Obstruction
1,1,41735772,0.072536516,No Obstruction
1,1,41735772,0.072536516,No Obstruction
1,1,41735772,0.072536516,No Obstruction
1,1,41735772,0.072536516,No Obstruction
1,1,41735772,0.072536516,No Obstruction
1,1,41735772,0.072536516,No Obstruction
1,1,41735772,0.072536516,No Obstruction
1,1,41735772,0.072536516,No Obstruction
1,1,41735772,0.072536516,No Obstruction
2,0,4347633568,0.071447599,No Obstruction
2,0,4347633568,0.071447599,No Obstruction
2,0,4347633568,0.071447599,No Obstruction
2,0,4347633568,0.071447599,No Obstruction
2,0,4347633568,0.071447599,No Obstruction
2,0,4347633568,0.071447599,No Obstruction
2,0,4347633568,0.071447599,No Obstruction
2,0,4347633568,0.071447599,No Obstruction
2,0,7578788226,0.016243314,No Obstruction
2,0,7578788226,0.016243314,No Obstruction
2,1,41735772,0.065252411,No Obstruction
2,1,41735772,0.065252411,No Obstruction
2,1,41735772,0.065252411,No Obstruction
2,1,41735772,0.065252411,No Obstruction
2,1,41735772,0.065252411,No Obstruction
2,1,41735772,0.065252411,No Obstruction
2,1,41735772,0.065252411,No Obstruction
2,1,41735772,0.065252411,No Obstruction
2,1,41735772,0.065252411,No Obstruction
2,1,41735772,0.065252411,No Obstruction
2,2,41596696,0.074392971,No Obstruction
2,2,41596696,0.074392971,No Obstruction
2,2,41596696,0.074392971,No Obstruction
2,2,41596696,0.074392971,No Obstruction
2,2,41596696,0.074392971,No Obstruction
2,2,41596696,0.074392971,No Obstruction
2,2,41596696,0.074392971,No Obstruction
2,2,41596696,0.074392971,No Obstruction
2,2,41596696,0.074392971,No Obstruction
2,2,41596696,0.074392971,No Obstruction
3,0,4347633568,0.112576317,No Obstruction
3,0,4347633568,0.112576317,No Obstruction
3,0,4347633568,0.112576317,No Obstruction
3,0,4347633568,0.112576317,No Obstruction
3,0,4347633568,0.112576317,No Obstruction
3,0,7578788226,0.016487159,No Obstruction
3,0,7578788226,0.016487159,No Obstruction
3,0,7578788226,0.016487159,No Obstruction
3,0,7578788226,0.016487159,No Obstruction
3,0,7578788226,0.016487159,No Obstruction
3,1,41735772,0.054045482,No Obstruction
3,1,41735772,0.054045482,No Obstruction
3,1,41735772,0.054045482,No Obstruction
3,1,41735772,0.054045482,No Obstruction
3,1,41735772,0.054045482,No Obstruction
3,1,41735772,0.054045482,No Obstruction
3,1,41735772,0.054045482,No Obstruction
3,1,41735772,0.054045482,No Obstruction
3,1,41735772,0.054045482,No Obstruction
3,1,41735772,0.054045482,No Obstruction
3,2,41596696,0.06270694,No Obstruction
3,2,41596696,0.06270694,No Obstruction
3,2,41596696,0.06270694,No Obstruction
3,2,41596696,0.06270694,No Obstruction
3,2,41596696,0.06270694,No Obstruction
3,2,41596696,0.06270694,No Obstruction
3,2,41596696,0.06270694,No Obstruction
3,2,41596696,0.06270694,No Obstruction
3,2,41596696,0.06270694,No Obstruction
3,2,41596696,0.06270694,No Obstruction
3,3,42306548,0.069202969,No Obstruction
3,3,42306548,0.069202969,No Obstruction
3,3,42306548,0.069202969,No Obstruction
3,3,42306548,0.069202969,No Obstruction
3,3,42306548,0.069202969,No Obstruction
3,3,42306548,0.069202969,No Obstruction
3,3,42306548,0.069202969,No Obstruction
3,3,42306548,0.069202969,No Obstruction
3,3,42306548,0.069202969,No Obstruction
3,3,42306548,0.069202969,No Obstruction
4,0,4347633568,0.206377838,No Obstruction
4,0,4347633568,0.206377838,No Obstruction
4,0,4347633568,0.206377838,No Obstruction
4,0,4347633568,0.206377838,No Obstruction
4,0,7578788226,0.015651658,No Obstruction
4,0,7578788226,0.015651658,No Obstruction
4,0,7578788226,0.015651658,No Obstruction
4,0,7578788226,0.015651658,No Obstruction
4,0,7578788226,0.015651658,No Obstruction
4,0,7578788226,0.015651658,No Obstruction
4,1,41735772,0.042462066,No Obstruction
4,1,41735772,0.042462066,No Obstruction
4,1,41735772,0.042462066,No Obstruction
4,1,41735772,0.042462066,No Obstruction
4,1,41735772,0.042462066,No Obstruction
4,1,41735772,0.042462066,No Obstruction
4,1,41735772,0.042462066,No Obstruction
4,1,41735772,0.042462066,No Obstruction
4,1,41735772,0.042462066,No Obstruction
4,1,41735772,0.042462066,No Obstruction
4,2,41596696,0.049802163,No Obstruction
4,2,41596696,0.049802163,No Obstruction
4,2,41596696,0.049802163,No Obstruction
4,2,41596696,0.049802163,No Obstruction
4,2,41596696,0.049802163,No Obstruction
4,2,41585262,0.015170829,No Obstruction
4,2,41585262,0.015170829,No Obstruction
4,2,41585262,0.015170829,No Obstruction
4,2,41585262,0.015170829,No Obstruction
4,2,41585262,0.015170829,No Obstruction
4,3,42306548,0.058875655,No Obstruction
4,3,42306548,0.058875655,No Obstruction
4,3,42306548,0.058875655,No Obstruction
4,3,42306548,0.058875655,No Obstruction
4,3,42306548,0.058875655,No Obstruction
4,3,42306548,0.058875655,No Obstruction
4,3,42306548,0.058875655,No Obstruction
4,3,42306548,0.058875655,No Obstruction
4,3,42306548,0.058875655,No Obstruction
4,3,42306548,0.058875655,No Obstruction
4,4,41954039,0.086400535,No Obstruction
4,4,41954039,0.086400535,No Obstruction
4,4,41954039,0.086400535,No Obstruction
